year,sentence
1975,"WASHINGTON, May 4&#8212;The Government was charged today with being so lax in enforcing its orders requiring Government contractors to follow ondiscriminatory employment practices that it does not even have a list of all the contractors. U.S. IS FOUND LAX ON EQUALITY RULE IN CONTRACT JOBS"
2014,Talk of a crisis in legal education risks pushing law schools into hasty and ill-considered reforms. Don’t Skimp on Legal Training
1982,"  The House Ways and Means Committee, beginning today to bring Federal spending plans into line with the first budget resolution for 1983, approved tax increases and spending cuts that would reduce the deficit by $21 billion over the next three years.   The major reductions were made in Medicare, the politically popular program that provides health care for the elderly.  In another budget area, Congress today added $5.5 billion to Federal spending in the current fiscal year. President Reagan agreed to sign the compromise bill, which was approved in a stongly bipartisan vote, after vetoing two previous versions as inflationary. The measure will avert the furloughing of thousands of Government workers. (Page A10.) HOUSING UNIT BACKS INCREASES IN TAXES AND SPENDING CUTS"
1991,"  Dartmouth Col lege's alumni af fairs office hasagreed to give what it calls ""symbolic"" recognition to a separate alumni organization for homosexuals.   The recognition, which follows public protests and a letter-writing campaign, stops short of providing staff or financial support from the college, in Hanover, N.H. It came in a letter from the director of alumni affairs, Michael Choukas Jr., to Charles T. Edwards, the chairman of Dartmouth Gay and Lesbian Alums, known as D-GALA, which is based in New York City. CAMPUS LIFE: Dartmouth; Alumni Office Recognizes Gay Organization"
1996,"New Rochelle (NY) Public Library, back on sound financial footing, is able to retire its Adopt-a-Magazine program; five years ago, with New Rochelle in budget crunch, subscriptions to every magazine in library were threatened with cancellation, but city resident Rob Seitz proposed that library start a campaign to encourage people to underwrite costs of magazines (M) Success Brings End To Magazine Plan"
1984,"In recent weeks, even President Reagan has jumped on the bandwagon of military reform, joining Democrats and Republicans in complaining about wasteful Pentagon procurement programs. This is all to the good, but it doesn't make up for the Administration's shabby and hypocritical treatment of Pentagon whistle-blowers, who put their careers on the line to report the waste of taxpayers' dollars. 

Four years ago, Mr. Reagan swept into office pledging to eliminate waste in the Pentagon and protect whistle-blowers. Now, on the eve of the election, he claims that he has kept that promise. To prove it, earlier this month, he staged a ceremony in the Rose Garden to honor as ''the unsung heroes of peace'' 12 auditors who had discovered such things as faulty wing bolts on B-52 bombers and defective parachute cords. PROTECTING PENTAGON WHISTLERS"
1985,"  Leonard Bernstein said today that he would conduct a ''Journey for Peace'' concert here on Thursday marking the 40th anniversary of the Hiroshima atomic bomb.   The concert, by the European Community Youth Orchestra, is to be repeated in Hiroshima Aug. 6, the actual date of the bombing. Mr. Bernstein said the concert tour was an attempt to show the world that war was meaningless. Athens Concert to Mark Bombing of Hiroshima"
2004,"Randy Cohen The Ethicist column answers question from marketing executive on ethics of developing political advertising for campaign he opposes; also responds to query about whether parents are obligated to tell child born through egg donor that he or she is not genetically related to them; drawing (M) The Way We Live Now, 7/11/04: The Ethicist; Company Line"
1969,To be acquired by Capital Cities Broadcasting Michigan Newspaper Sold
2006,"NORTH from the fishing pier at the town of Pismo Beach, Calif., miles up the shore and past the beachgoers standing in the wind and staring out to sea, the green hills of San Luis Obispo County loom in the haze. There, on the very edge of a continent, the Pacific winds blow unremittingly into those big California hills, blurring the air and gusting up to 30 miles per hour on a typical day.     Not surprisingly, people fly kites on this stretch of sand, Pismo State Beach. Families crane their necks to peer up at green dragons and bright diamonds and rainbow-pattern polyester boxes, hovering 100 feet aloft on a single thread. And kites, in effect, also fly people off this beach, where kiteboarding has gained an ardent local following.   Let's Go Fly With a Kite"
1965," EDWARD KOZERA, 42, AIDE OF LAW GROUP"
2002,"Abraham H Foxman, national director of Anti-Defamation League, and Rabbi A James Rudin, senior interreligious adviser for American Jewish Committee, are questioning Chevrolet's sponsorship of monthlong 16-city Come Together and Worship Tour, which begins on Nov 1 in Atlanta, aimed at evangelical Christians; religious leaders complain that big consumer marketers should not identify themselves so closely with one faith; tour will feature two acts in fast-growing genre known as contemporary Christian music, W Michael Smith and Third Day, along with Texas pastor Rev Max Lucado; Chevrolet says it stands by its decision; photo (M) G.M. Gets Criticism for Backing Tour of Christian Music Performers"
2016,Donald Trump can’t possibly be betting on Roger Ailes to help him win the election. Could these two serial misogynists share a future in TV land? The Trump-Ailes Buddy Act
1987,LEAD: To the Editor:  Mr. Pearlman's article gave the exact picture of what is happening to the brush industry. Battling Imports
2002,"D. Brooks Smith, a federal district judge, was endorsed by the Senate Judiciary Committee for an appeals court post today. 3 Democrats Join Senate Panel in Approving a Criticized Judge"
2016,"A muted dreamscape from the Thai director Apichatpong Weerasethakul, who is best known for his “Uncle Boonmee Who Can Recall His Past Lives.” Review: In ‘Cemetery of Splendour,’ a Nod to Dream Logic"
1983,"  The head of the Uniformed Firefighters Association yesterday criticized a Citizens Budget Commission recommendation that the size of the Police Department be increased, with the money largely coming from a reduction in the number of firefighters.   ''If the city would accept those recommendations,'' said Nicholas Mancuso, president of the union, ''it might be a little safer to go out for a walk at night, but much more dangerous to stay at home.'' Union Is Opposing Cuts in Fire Dept."
2004,Many restaurants and other small businesses in Lower Manhattan depend on people who work in or have businesses before courts; some feel continuing effect of Sept 11 attacks and city's new smoking ban; Chinatown is particular hard hit; photos (M) Businesses Near Courthouse Find Their Lifeblood in It
2006,"New Jersey Nets player Mikki Moore's love of snakes is discussed; photo (M) Nets' Moore Saw the Movie, Has the Snakes"
1987,"LEAD:         *3*** COMPANY REPORTS **    *3*JERRICO INC (OTC)       Qtr to Sept 30   1987   1986                     Revenue   159,100,000   153,222,000              Net inc   b7,003,000   7,408,000              Share earns   .35   .35              Shares outst   20,097,000   21,239,000              b-Includes a charge of $1 million for a litigation settlement and a reduction of $768,000 in depreciation for a change in estimate of service lives of restaurant building and leasehold improvements. JERRICO INC reports earnings for Qtr to Sept 30"
1984,*3*** COMPANY REPORTS ** CAPITAL CITIES COMMUNICAIONS INC reports earnings for Qtr to June 30
2016,Ensemble Studio Theater’s new street-level main stage on West 52nd Street will be financed primarily by the City of New York. Nonprofit Theater Plans to Build New Stage in Hell’s Kitchen
2005,"Microsoft will enter consumer antivirus business as part of subscription service that it will offer next year; service, called Windows OneCare, will bring Microsoft into direct competition with Symantec and McAfee (M) Microsoft Says It Will Offer Virus Defense"
1982,"  Chancellor Helmut Schmidt, who has won adoption of distasteful policies in the past by threatening to resign, was quoted today as saying that he would step down if groups in his coalition Government did not stop squabbling over proposals to stem growing unemployment.   Mr. Schmidt made the statement to members of his Social Democratic Party last week, according to an interview with Herbert Wehner, the party's leader in Parliament. The interview is to be broadcast on West German television Saturday. SCHMIDT SAID TO THREATEN TO QUIT"
